Zipcode,Median Income,population
75859,58403,1923
75860,46888,6644
75861,57589,9017
75862,35011,10091
75865,0,0
75880,0,0
75882,0,0
75884,0,0
75886,0,0
75901,41809,29036
75902,0,0
75903,0,0
75904,39265,34004
75915,0,0
75925,40971,4179
75926,36100,1070
75928,35292,1411
75929,31366,1599
75930,22902,2023
75931,46528,2631
75932,45231,1437
75933,43056,1599
75934,11250,99
75935,38668,13685
75936,49000,889
75937,42067,994
75938,41011,2608
75939,39123,3992
75941,45979,9105
75942,43512,115
75943,56563,1262
75944,42500,1301
75946,43875,3578
75948,34651,6281
75949,38165,7976
75951,33700,16134
75954,40455,3280
75956,42644,7623
75958,0,0
75959,28419,923
75960,37417,913
75961,29413,14910
75962,0,3029
75963,0,0
75964,35827,20097
75965,39651,17591
75966,29595,5371
75968,32672,1766
75969,57143,4116
75972,28338,6620
75973,42645,2599
75974,30440,3126
75975,35285,3699
75976,29464,827
75977,43056,750
75978,98333,144
75979,37194,11423
75980,39828,2836
75990,0,0
76001,74587,30460
76002,79376,30269
76003,0,0
76004,0,0
76005,0,0
76006,44363,22639
76007,0,0
76008,102951,13602
76009,51696,19759
76010,31108,55706
76011,34412,21594
76012,56627,25689
76013,50220,30680
76014,42558,34072
76015,47902,16658
76016,81635,30852
76017,68538,44724
76018,64403,26938
76019,0,0
76020,57457,27270
76021,65134,33673
76022,53793,13212
76023,49441,5832
76028,69676,59744
76031,46714,17759
76033,53523,24819
76034,152986,22748
76035,84732,1622
76036,64852,22352
76039,58320,32925
76040,45748,27524
76041,57750,434
76043,54925,7071
76044,59833,3866
76048,48668,21989
76049,64254,25130
76050,62723,5875
76051,76216,46320
76052,93031,15995
76053,44977,28421
76054,93763,11764
76055,48142,3084
76058,56151,17123
76059,36579,4881
76060,74375,6764
76061,0,152
76063,92052,61361
76064,77500,1883
76065,81793,28986
76066,80088,3142
76067,40367,22117
76068,0,0
76070,56382,752
76071,63750,3320
76073,54109,5327
76077,91875,590
76078,64280,8572
76082,58255,17748
76084,54599,8327
76085,60291,8787
76086,48176,20196
76087,74898,24746
76088,64093,11499
76092,173507,26669
76093,59195,2095
76094,0,0
76095,0,0
76096,0,0
76097,0,0
76098,0,0
76099,0,0
76101,0,0
76102,50177,8111
76103,39513,14572
76104,22221,17446
76105,24526,22194
76106,31391,35389
76107,51370,25917
76108,58528,38227
76109,58704,21710
76110,39600,30434
76111,40511,21685
76112,36820,38993
76113,0,0
76114,37752,24741
76115,27806,20696
76116,41573,46746
76117,39054,30645
76118,62282,13866
76119,28660,42761
76120,39714,15283
76121,0,0
76122,0,0
76123,81008,29722
76124,0,0
76126,76330,19395
76127,173500,2003
76129,0,2833
76130,0,0
76131,77413,28374
76132,49437,24709
76133,51123,48394
76134,48534,23704
76135,52945,20684
76136,0,0
76137,66306,54911
76140,50739,26340
76147,0,0
76148,59394,23331
76150,0,0
76155,45675,3115
76161,0,0
76162,0,0
76163,0,0
76164,34574,16748
76166,0,0
76177,81755,4891
76179,75472,48058
76180,52086,33444
76181,0,0
76182,82038,28209
76185,0,0
76190,0,0
76191,0,0
76192,0,0
76193,0,0
76195,0,0
76196,0,0
76197,0,0
76198,0,0
76199,0,0
76201,22342,27107
76202,0,0
76203,0,0
76204,0,0
76205,41371,18510
76206,0,0
76207,61377,10579
76208,70890,19782
76209,48237,24018
76210,80407,39556
76225,62554,3156
76226,116101,18419
76227,77386,22141
76228,46620,1119
76230,43390,9711
76233,63697,3235
76234,58848,15587
76238,57583,431
76239,56875,1087
76240,47663,26120
76241,0,0
76244,93705,60388
76245,32157,1780
76246,0,0
76247,77968,13098
76248,111606,34647
76249,75250,7194
76250,84545,937
76251,57321,731
76252,62054,2863
76253,41250,230
76255,36082,5411
76258,53438,6659
76259,76021,4618
76261,58500,233
76262,88114,27648
76263,60833,44
76264,49650,1412
76265,47500,1893
76266,63416,13495
76267,0,0
76268,48203,250
76270,55028,1853
76271,47981,1352
76272,52763,4745
76273,44190,9135
76299,0,0
76301,31565,16540
76302,44066,13206
76305,53525,4746
76306,41765,15991
76307,0,0
76308,46546,19677
76309,46038,13862
76310,63646,17989
76311,56767,7535
76351,42961,2035
76352,0,0
76354,49031,11270
76357,36683,712
76360,43958,3502
76363,21488,256
76364,36912,193
76365,54517,4831
76366,59732,2317
76367,50879,13045
76369,0,0
76370,36771,299
76371,34250,1606
76372,39141,974
76373,45948,162
76374,29965,4162
76377,48750,802
76379,46667,591
76380,33689,3820
76384,41050,12991
76385,0,0
76388,34493,203
76389,58906,1329
76401,37194,25702
76402,0,847
76424,42194,8992
76426,52328,11302
76427,34014,804
76429,96875,258
76430,51105,2532
76431,51941,3384
76432,41563,1370
76433,61953,1416
76435,34226,612
76436,61500,212
76437,41000,5721
76439,0,0
76442,35074,7545
76443,38472,1897
76444,35833,3635
76445,45050,407
76446,37589,9000
76448,35949,5628
76449,41797,2434
76450,49066,13258
76452,70208,75
76453,45000,1125
76454,26017,1688
76455,42500,1014
76457,44595,3960
76458,49306,6261
76459,31875,146
76460,65536,421
76461,0,0
76462,59375,2982
76463,34688,481
76464,38984,506
76465,0,0
76466,69732,332
76467,0,0
76468,0,0
76469,27000,96
76470,30918,3238
76471,31317,1906
76472,41935,1499
76474,73207,281
76475,40774,977
76476,62974,2637
76481,0,208
76483,37596,1063
76484,47847,1147
76485,0,0
76486,53906,1375
76487,54872,2507
76490,107344,91
76491,35833,459
76501,40237,16897
76502,62939,31545
76503,0,0
76504,37951,24268
76505,0,0
76508,0,0
76511,38194,3317
76513,57545,34172
76518,38098,1581
76519,29821,626
76520,36259,8413
76522,54493,35534
76523,0,18
76524,54783,2867
76525,42750,1062
76526,0,0
76527,44977,4058
76528,46996,16974
76530,50463,2540
76531,40509,4978
76533,0,0
76534,49375,2615
76537,54479,3870
76538,51250,761
76539,56696,7841
76540,0,0
76541,28946,19206
76542,57884,40025
76543,39704,30430
76544,41700,29943
76545,0,0
76546,0,0
76547,0,0
76548,63792,26344
76549,52400,44490
76550,45526,11586
76554,48241,2104
76556,39375,1461
76557,47384,5178
76558,0,0
76559,53687,5051
76561,53750,962
76564,0,0
76565,31364,74
76566,50962,258
76567,36453,8984
76569,57955,2498
76570,31691,2572
76571,92222,6790
76573,0,26
76574,45011,17661
76577,45855,3046
76578,57857,1766
76579,63942,4258
76596,0,1274
76597,0,2882
76598,0,523
76599,0,1956
76621,57361,1037
76622,42231,1015
76623,41250,242
76624,49863,2231
76626,49364,1563
76627,42917,1601
76628,16406,111
76629,49583,1989
76630,47857,1840
76631,66964,522
76632,33371,1778
76633,68618,4973
76634,47315,7093
76635,29327,1341
76636,48875,1497
76637,42292,536
76638,77679,2837
76639,32778,1584
76640,37651,3005
76641,40238,1674
76642,42778,7057
76643,66898,13554
76644,0,0
76645,32234,11039
76648,39833,2302
76649,41250,790
76650,37500,104
76651,50457,3300
76652,37647,1087
76653,37303,1082
76654,58958,151
76655,75104,7831
76656,38456,2276
76657,62058,9307
76660,41818,506
76661,28346,8708
76664,34983,3514
76665,42616,2526
76666,45000,244
76667,36663,11313
76670,49667,1377
76671,46509,1777
76673,48571,1187
76676,41333,413
76678,19286,263
76679,35694,1432
76680,55956,190
76681,40577,873
76682,40234,2660
76684,0,0
76685,0,108
76686,36964,285
76687,48032,1466
76689,49722,3996
76690,39022,1197
76691,50000,6454
76692,42965,10115
76693,37661,1651
76701,25372,1826
76702,0,0
76703,0,0
76704,17166,8007
76705,37609,29155
76706,26398,35015
76707,32021,16697
76708,40477,24476
76710,37195,22686
76711,31134,9042
76712,68413,23506
76714,0,0
76715,0,0
76716,0,0
76795,0,0
76797,0,0
76798,0,1862
76799,0,0
76801,37180,25552
76802,47196,5075
76803,0,0
76804,0,0
76820,45500,125
76821,34324,4869
76823,40807,2945
76824,0,35
76825,38243,7091
76827,60625,433
76828,26094,199
76831,0,63
76832,44464,559
76834,30000,5908
76836,0,41
76837,50685,3188
76841,0,61
76842,39196,191
76844,43421,3550
76845,39167,178
76848,44167,78
76849,43421,3944
76852,42155,212
76853,33056,1622
76854,20391,401
76855,0,0
76856,46471,3582
76857,53563,1791
76858,37895,254
76859,30833,1982
76861,50938,1995
76862,64773,198
76864,47917,890
76865,43250,160
76866,42222,623
76869,0,125
76870,31979,251
76871,43750,784
76872,55550,717
76873,85625,55
76874,0,68
