Zipcode,Median Income,population
78344,81667,474
78347,0,0
78349,22944,505
78350,0,0
78351,36985,621
78352,31369,179
78353,16827,433
78355,23222,7081
78357,51051,3161
78358,40750,709
78359,32083,1944
78360,0,0
78361,35928,5350
78362,57458,9447
78363,40413,30463
78364,0,0
78368,35191,9227
78369,43125,444
78370,54942,4877
78371,50179,404
78372,52208,5452
78373,42500,3585
78374,66236,16620
78375,31864,3352
78376,19205,554
78377,44861,3821
78379,40735,1585
78380,39922,23141
78381,0,0
78382,45732,19364
78383,51029,3539
78384,26542,6640
78385,36736,277
78387,45855,9574
78389,50577,1541
78390,41149,5616
78391,18750,325
78393,44457,2379
78401,22226,5391
78402,51958,536
78403,0,0
78404,38862,17236
78405,27247,16867
78406,45781,1413
78407,30179,2955
78408,28137,12061
78409,47105,2939
78410,66739,26387
78411,40349,28024
78412,45708,36003
78413,64159,36953
78414,75971,30165
78415,39915,39271
78416,27854,15508
78417,50069,4176
78418,55487,29854
78419,44594,694
78426,0,0
78427,0,0
78460,0,0
78461,0,0
78463,0,0
78465,0,0
78466,0,0
78467,0,0
78468,0,0
78469,0,0
78470,0,0
78471,0,0
78472,0,0
78473,0,0
78474,0,0
78475,0,0
78476,0,0
78477,0,0
78478,0,0
78480,0,0
78501,31214,61219
78502,0,0
78503,35660,21706
78504,61277,48703
78505,0,0
78516,32977,33722
78520,29835,59408
78521,26684,93818
78522,0,0
78523,0,0
78526,44672,42460
78535,23795,581
78536,30000,451
78537,25338,39454
78538,25806,10657
78539,52167,30783
78540,0,0
78541,34586,42431
78542,29878,63293
78543,22121,8447
78545,24917,555
78547,0,0
78548,25962,675
78549,22599,990
78550,33780,53152
78551,0,0
78552,39602,34111
78553,0,0
78557,39033,12547
78558,17000,882
78559,31901,12751
78560,34297,4368
78561,16000,779
78562,30938,2868
78563,30809,376
78564,0,270
78565,8611,402
78566,39361,16230
78567,19500,533
78568,0,0
78569,36750,4039
78570,25445,32525
78572,37735,75221
78573,33809,34890
78574,29818,57071
78575,52039,8056
78576,28853,8775
78577,32054,70840
78578,35523,12516
78579,31099,4580
78580,28106,14963
78582,27337,40455
78583,34324,6623
78584,19881,18128
78585,38333,396
78586,31303,55878
78588,25500,238
78589,33648,38004
78590,32083,289
78591,38625,265
78592,25441,836
78593,24073,6324
78594,14565,1990
78595,24464,6082
78596,34297,63844
78597,45432,2885
78598,9143,226
78599,0,0
78602,50376,25160
78604,0,0
78605,52277,4952
78606,48438,5205
78607,20238,166
78608,56727,434
78609,39779,2012
78610,79049,23502
78611,48409,12977
78612,63144,11457
78613,81928,65099
78614,78958,456
78615,65625,1290
78616,50848,7092
78617,45212,22210
78618,63393,324
78619,87228,3026
78620,89899,14367
78621,52471,21659
78622,46250,296
78623,63487,813
78624,54286,21513
78626,57787,25996
78627,0,0
78628,80363,23727
78629,42807,11887
78630,0,0
78631,43340,2395
78632,41573,910
78633,74986,19349
78634,73729,22791
78635,0,149
78636,47660,3749
78638,44708,2005
78639,32865,7334
78640,64137,42954
78641,71885,44295
78642,75375,9467
78643,42939,6139
78644,46967,17081
78645,73601,9773
78646,0,0
78648,34903,7683
78650,54474,1599
78651,0,0
78652,76604,4466
78653,59763,16375
78654,46086,17553
78655,46823,2739
78656,43922,2271
78657,69592,5509
78658,0,0
78659,68452,2903
78660,76007,68789
78661,39821,335
78662,75050,2268
78663,71971,746
78664,61401,52932
78665,85907,35985
78666,33827,63836
78667,0,0
78669,83024,8731
78670,44265,168
78671,55479,654
78672,30521,931
78673,0,0
78674,0,0
78675,54773,188
78676,66050,12602
78677,92778,92
78680,0,0
78681,92453,50606
78682,0,0
78683,0,0
78691,0,0
78701,86541,6841
78702,36197,21334
78703,80569,19690
78704,50930,42117
78705,12143,31340
78708,0,0
78709,0,0
78710,0,0
78711,0,0
78712,0,860
78713,0,0
78714,0,0
78715,0,0
78716,0,0
78717,93701,22538
78718,0,0
78719,38305,1764
78720,0,0
78721,33798,11425
78722,50923,5901
78723,42939,28330
78724,38479,21696
78725,52381,6083
78726,67466,13122
78727,69570,26689
78728,48612,20299
78729,60690,27108
78730,120568,7955
78731,75269,24614
78732,131216,14060
78733,122860,8762
78734,87300,17655
78735,79984,16131
78736,84940,6946
78737,121094,12081
78738,118795,12134
78739,128597,16792
78741,30871,44935
78742,19688,820
78744,41721,42820
78745,50672,55614
78746,128936,26928
78747,61599,14808
78748,66309,40651
78749,84907,34449
78750,76236,26814
78751,39032,14385
78752,34716,18064
78753,38884,49301
78754,54896,15036
78755,0,0
78756,59854,7194
78757,57429,21310
78758,43537,44072
78759,66828,38891
78760,0,0
78761,0,0
78762,0,0
78763,0,0
78764,0,0
78765,0,0
78766,0,0
78767,0,0
78768,0,0
78769,0,0
78772,0,0
78773,0,0
78774,0,0
78778,0,0
78779,0,0
78780,0,0
78781,0,0
78783,0,0
78785,0,0
78786,0,0
78788,0,0
78789,0,0
78798,0,0
78799,0,0
78801,33306,21780
78802,51944,242
78827,24310,1219
78828,33462,258
78829,20536,1207
78830,24861,786
78832,33257,3598
78833,29180,1299
78834,42222,7829
78836,0,128
78837,30556,281
78838,51667,275
78839,25560,8578
78840,40533,48149
78841,0,0
78842,0,0
78843,0,336
78847,0,0
78850,46500,1145
78851,0,23
78852,31214,53040
78853,0,0
78860,19535,229
78861,45118,13701
78870,37500,984
78871,0,45
78872,31050,1905
78873,38594,1788
78877,42250,989
78879,36806,264
78880,47083,1682
78881,34250,2335
78883,44231,353
78884,46389,1158
78885,80417,120
78886,74196,647
78931,67917,323
78932,36548,757
78933,59974,1433
78934,46350,6712
78935,82391,978
78938,52098,471
78940,51905,2098
78941,40304,2962
78942,43798,8989
78943,45598,352
78944,47083,562
78945,49351,10494
78946,46719,960
78947,64516,4475
78948,63029,850
78949,58523,517
78950,49261,2038
78951,0,26
78952,0,0
78953,44604,934
78954,55000,1071
78956,39923,5381
78957,42994,9067
78959,39648,1837
78960,0,0
78961,0,0
78962,45545,4733
78963,70017,909
79001,53214,249
79002,0,0
79003,64653,162
79005,62750,1735
79007,42613,14542
79008,0,0
79009,41552,2166
79010,74911,802
79011,71250,236
79012,97083,976
79013,42349,3423
79014,55690,3771
79015,51951,19277
79016,0,94
79018,40833,548
79019,57202,1707
79021,56250,138
79022,49521,10741
79024,54167,405
79025,0,69
79027,29805,5223
79029,51971,16177
79031,43688,1425
79032,70547,157
79033,250001,109
79034,66023,637
79035,46467,5309
79036,51035,5128
79039,54122,779
79040,57604,1839
79041,36667,3194
79042,54821,1169
79043,39145,1487
79044,40000,766
79045,41975,19473
79046,40750,489
79051,0,29
79052,43250,1259
79053,86607,137
79054,40000,594
79056,44375,63
79057,41500,1206
79058,0,10
79059,67404,837
79061,60357,316
79062,61000,218
79063,55938,686
79064,37865,2739
79065,43921,20840
79066,0,0
79068,65050,3197
79070,49810,9919
79072,40832,28849
79073,0,0
79077,0,0
79078,50341,377
79079,41625,2646
79080,42000,605
79081,47292,3912
79082,54375,315
79083,51141,2661
79084,44417,2366
79085,0,53
79086,53810,2105
79087,48375,751
79088,34519,5945
79091,53250,147
79092,44632,1106
79093,0,69
79094,76190,75
79095,40494,2686
79096,54750,2229
79097,71429,1150
79098,54875,517
79101,21250,2817
79102,40216,9963
79103,47308,10594
79104,27490,7869
79105,0,6
79106,38685,27967
79107,32002,33844
79108,51746,17726
79109,53945,43516
79110,47834,18811
79111,53850,1808
79114,0,0
79116,0,0
79117,0,0
79118,62323,19726
79119,88370,11539
79120,0,0
79121,69676,6575
79124,78627,7819
79159,0,0
79166,0,0
79168,0,0
79172,0,0
79174,0,0
79178,0,0
79185,0,0
79187,0,0
79189,0,0
79201,41607,7040
79220,55781,197
79221,0,0
79223,0,0
79225,48333,976
79226,38750,3153
79227,33882,1406
79229,38068,424
79230,59250,158
79231,0,45
79233,19375,180
79234,42250,110
79235,38808,3833
79236,65000,262
79237,65000,513
79239,58929,211
79240,0,60
79241,47969,2480
79243,77981,90
79244,35000,720
79245,31761,2476
79247,32083,64
79248,34361,1493
79250,42132,1508
79251,50625,45
79252,35373,3202
79255,29559,571
79256,35208,319
79257,39792,1067
79258,0,67
79259,108047,48
79261,37969,527
79311,50690,3445
79312,37500,971
79313,39097,1571
79314,59583,56
79316,36667,11451
79320,0,0
79322,39420,2049
79323,54697,6559
79324,0,61
79325,44559,2319
79326,0,40
79329,62472,3300
79330,83333,114
79331,39847,13258
79336,50843,16972
79338,0,0
79339,35487,7230
79342,61250,352
79343,42188,1571
79344,30481,56
79345,53281,920
79346,37115,2427
79347,46406,7462
79350,41488,392
79351,33274,1326
79353,0,10
79355,45640,1942
79356,47627,6363
79357,34688,2303
79358,50809,1116
79359,48042,2899
79360,52864,13574
79363,54601,5369
79364,40284,8172
79366,102500,1096
79367,45250,645
79369,166000,88
79370,36208,1889
79371,37235,1317
79372,49191,1434
79373,46875,3307
79376,21771,95
79377,42292,277
79378,50625,236
79379,42778,666
79380,42344,197
79381,45789,1263
79382,61563,6291
79383,0,0
79401,13450,8408
79402,0,0
79403,33554,16869
79404,27434,11289
79405,0,0
79406,0,6025
79407,40221,19068
79408,0,0
79409,0,0
79410,36715,9429
79411,24244,7951
79412,33317,15650
79413,49384,21187
79414,34504,17121
79415,27270,17689
79416,45937,32296
79423,54784,32277
79424,75921,39023
79430,0,0
79452,0,0
79453,0,0
79457,0,0
79464,0,0
79490,0,0
79491,0,0
79493,0,0
79499,0,0
79501,41757,3528
79502,41190,1350
79503,55326,175
79504,41406,2787
79505,35278,296
79506,39500,730
79508,65526,1242
79510,46555,7982
79511,62500,1338
79512,47954,8197
79516,0,0
79517,76875,200
79518,52917,124
79519,43750,74
79520,33864,2449
79521,39479,3980
79525,38787,2842
79526,71250,979
79527,50688,251
79528,45446,619
79529,36979,1383
79530,44792,480
79532,27131,940
79533,41786,472
79534,26250,181
79535,38333,183
79536,45054,4988
79537,46563,111
79538,46250,271
79539,34821,178
79540,116563,89
79541,58833,791
79543,46667,1186
79544,35417,512
79545,44188,1788
79546,36250,2006
79547,35625,758
79548,41696,174
79549,46791,15652
79550,0,0
79553,35904,3469
79556,36499,12995
79560,48750,137
79561,46154,662
79562,74750,3669
79563,38750,1161
79565,56389,295
79566,40833,333
79567,41600,3373
79601,34556,25085
79602,51295,21519
79603,38176,24288
79604,0,0
79605,41305,30098
79606,56844,22885
79607,44779,2865
79608,0,0
79697,0,0
79698,0,0
79699,0,321
79701,45030,27728
79702,0,0
79703,57842,20592
79704,0,0
79705,68649,33536
79706,58737,19571
79707,76543,32854
79708,0,0
79710,0,0
79711,0,0
79712,0,0
79713,52188,592
79714,57825,14786
79718,38636,721
79719,28958,397
79720,45000,33640
79721,0,0
79730,44342,250
79731,49848,4193
79733,61250,210
79734,49146,2137
79735,45291,13315
79738,72656,275
79739,81250,963
79740,0,0
79741,65000,288
79742,35833,490
79743,66875,339
79744,68594,1362
79745,48488,6125
79748,70417,173
79749,64712,255
79752,40809,2245
79754,68000,80
79755,75625,230
79756,44432,9066
79758,57460,2197
79759,0,23
79760,0,0
79761,44174,30488
79762,56235,39056
79763,47230,34079
79764,50556,20725
79765,86367,6927
79766,55102,6115
79768,0,0
79769,0,0
79770,0,33
79772,41354,12747
79776,0,0
79777,63958,170
79778,61806,878
79780,26029,224
79781,50000,303
79782,39495,3976
79783,112917,201
79785,14583,91
79786,0,0
79788,28750,506
79789,55536,974
79821,30810,7142
79830,42062,7682
79831,0,29
79832,0,0
79834,56397,200
79835,29799,12690
79836,36394,5772
79837,26250,579
79838,26477,8699
79839,19583,1938
79842,40500,498
79843,45245,2503
79845,21512,5138
79846,18594,104
79847,37734,167
79848,38958,927
79849,25426,13208
79851,25000,641
79852,26613,799
79853,27870,3729
79854,75417,213
79855,36779,2336
79901,13524,11328
79902,30315,21236
79903,27420,18451
79904,32668,35060
79905,19455,26036
79906,46180,4374
79907,27166,55132
79908,70640,3673
79910,0,0
79911,120815,1565
79912,59174,77161
79913,0,0
79914,0,0
79915,27134,40057
79916,2499,2995
79917,0,0
79918,0,0
79920,0,153
79922,80893,8935
79923,0,0
79924,41009,59058
79925,44217,40641
79926,0,0
79927,31962,39016
79928,48251,49544
79929,0,0
79930,29942,28410
79931,0,0
79932,50952,24986
79934,61951,19174
79935,37866,18042
79936,52024,111086
79937,0,0
79938,52119,53520
79940,0,0
79941,0,0
79942,0,2
